id_fonte,tipo_logradouro,nome_logradouro,numero,bairro,cidade,uf,cep,latitude,longitude,confiabilidade
CNEFE000001,TRAVESSA,EIXO MONUMENTAL,531,ASA NORTE,Brasília,DF,70000-575,-15.796812,-47.884581,0.95
CNEFE000002,TRAVESSA,NOVE DE JULHO,1834,REPUBLICA,São Paulo,SP,01000-735,-23.543456,-46.640627,0.97
CNEFE000003,AVENIDA,BOAVISTA,915,BOA VIAGEM,Recife,PE,50000-772,-8.120624,-34.906405,0.95
CNEFE000004,ESTRADA,DA AURORA,3286,BOA VISTA,Recife,PE,50000-571,-8.062848,-34.88145,0.96
CNEFE000005,VIELA,NOVE DE JULHO,1501,REPUBLICA,São Paulo,SP,01000-452,-23.544702,-46.641132,0.97
CNEFE000006,LARGO,PRIMEIRO DE MARÇO,1831,CENTRO,Rio de Janeiro,RJ,20000-667,-22.902616,-43.175953,0.97
CNEFE000007,AVENIDA,DA AURORA,2127,BOA VISTA,Recife,PE,50000-541,-8.063303,-34.881316,0.97
CNEFE000008,AVENIDA,ATLANTICA,4790,COPACABANA,Rio de Janeiro,RJ,20000-196,-22.970793,-43.181574,0.96
CNEFE000009,ALAMEDA,RIO BRANCO,2819,CENTRO,Rio de Janeiro,RJ,20000-420,-22.904047,-43.174196,0.97
CNEFE000010,VIELA,BRIGADEIRO FARIA LIMA,1112,ITAM BIBI,São Paulo,SP,01000-656,-23.583623,-46.689603,0.96
CNEFE000011,LARGO,PRESIDENTE VARGAS,2050,CENTRO,Rio de Janeiro,RJ,20000-963,-22.906169,-43.1786,0.96
CNEFE000012,LARGO,URUGUAIANA,3069,CENTRO,Rio de Janeiro,RJ,20000-836,-22.900308,-43.173664,0.98
CNEFE000013,AVENIDA,PAULISTA,1424,BELA VISTA,São Paulo,SP,01000-129,-23.560877,-46.656984,0.97
CNEFE000014,LARGO,PROTASIO ALVES,3214,PETROPOLIS,Porto Alegre,RS,90000-703,-30.036485,-51.232763,0.95
CNEFE000015,VIELA,OSWALDO CRUZ,1971,BOTAFOGO,Rio de Janeiro,RJ,20000-964,-22.950152,-43.190532,0.95
CNEFE000016,AVENIDA,IPIRANGA,3571,REPUBLICA,São Paulo,SP,01000-160,-23.542154,-46.639805,0.97
CNEFE000017,ESTRADA,MARQUES DE ITU,1025,VILA BUARQUE,São Paulo,SP,01000-820,-23.547329,-46.643575,0.98
CNEFE000018,AVENIDA,AFONSO PENA,1420,CENTRO,Belo Horizonte,MG,30000-320,-19.916786,-43.934091,0.98
CNEFE000019,RUA,VINTE E TRES DE MAIO,2528,LIBERDADE,São Paulo,SP,01000-970,-23.544437,-46.641344,0.97
CNEFE000020,RUA,RIO BRANCO,1190,CENTRO,Rio de Janeiro,RJ,20000-935,-22.903685,-43.1747,0.96
CNEFE000021,ESTRADA,IPIRANGA,4530,REPUBLICA,São Paulo,SP,01000-839,-23.543199,-46.640267,0.96
CNEFE000022,LARGO,IPIRANGA,2964,REPUBLICA,São Paulo,SP,01000-552,-23.543786,-46.640489,0.97
CNEFE000023,AVENIDA,DO COMERCIO,903,SAO JOSE,Recife,PE,50000-399,-8.060067,-34.874787,0.97
CNEFE000024,TRAVESSA,DAS FLORES,697,JARDIM,Rio de Janeiro,RJ,20000-824,-22.909503,-43.179743,0.97
CNEFE000025,PRAÇA,REBOUCAS,1844,PINHEIROS,São Paulo,SP,01000-186,-23.560706,-46.680503,0.98
CNEFE000026,LARGO,ATLANTICA,3963,COPACABANA,Rio de Janeiro,RJ,20000-757,-22.971018,-43.18151,0.95
CNEFE000027,AVENIDA,PRESIDENTE VARGAS,3832,CENTRO,Rio de Janeiro,RJ,20000-499,-22.906359,-43.178184,0.97
CNEFE000028,TRAVESSA,BOAVISTA,1325,BOA VIAGEM,Recife,PE,50000-962,-8.119382,-34.906181,0.97
CNEFE000029,RUA,AMAZONAS,4125,CENTRO,Belo Horizonte,MG,30000-939,-19.917717,-43.934771,0.96
CNEFE000030,TRAVESSA,SETEMBRO,3253,CENTRO,Rio de Janeiro,RJ,20000-177,-22.905687,-43.176813,0.97
CNEFE000031,VIELA,BOA VIAGEM,3966,BOA VIAGEM,Recife,PE,50000-127,-8.119115,-34.905641,0.95
CNEFE000032,LARGO,DA AURORA,3993,BOA VISTA,Recife,PE,50000-758,-8.063726,-34.880972,0.95
CNEFE000033,AVENIDA,SAO JOAO,3057,REPUBLICA,São Paulo,SP,01000-157,-23.546307,-46.64281,0.98
CNEFE000034,ESTRADA,NOVE DE JULHO,49,REPUBLICA,São Paulo,SP,01000-761,-23.544452,-46.641898,0.95
CNEFE000035,LARGO,DO COMERCIO,4547,SAO JOSE,Recife,PE,50000-318,-8.059515,-34.874959,0.97
CNEFE000036,ESTRADA,MARQUES DE ITU,4870,VILA BUARQUE,São Paulo,SP,01000-509,-23.546724,-46.643239,0.96
CNEFE000037,RUA,BAHIA,2230,CENTRO,Belo Horizonte,MG,30000-899,-19.917478,-43.936906,0.95
CNEFE000038,LARGO,CONSOLACAO,2851,CONSOLACAO,São Paulo,SP,01000-170,-23.550454,-46.65963,0.96
CNEFE000039,VIELA,W3 NORTE,4438,ASA NORTE,Brasília,DF,70000-145,-15.794578,-47.883708,0.97
CNEFE000040,ESTRADA,COPACABANA,3657,COPACABANA,Rio de Janeiro,RJ,20000-149,-22.969223,-43.18434,0.96
CNEFE000041,VIELA,BOA VIAGEM,493,BOA VIAGEM,Recife,PE,50000-417,-8.1198,-34.906511,0.95
CNEFE000042,ESTRADA,PAULISTA,2963,BELA VISTA,São Paulo,SP,01000-277,-23.562101,-46.657302,0.97
CNEFE000043,AVENIDA,ATLANTICA,3169,COPACABANA,Rio de Janeiro,RJ,20000-841,-22.970847,-43.181742,0.97
CNEFE000044,TRAVESSA,AFONSO PENA,4403,CENTRO,Belo Horizonte,MG,30000-783,-19.917222,-43.933762,0.97
CNEFE000045,TRAVESSA,RIO BRANCO,3117,CENTRO,Rio de Janeiro,RJ,20000-577,-22.903703,-43.174597,0.97
CNEFE000046,LARGO,PROTASIO ALVES,3510,PETROPOLIS,Porto Alegre,RS,90000-147,-30.035815,-51.232387,0.96
CNEFE000047,ALAMEDA,ATLANTICA,817,COPACABANA,Rio de Janeiro,RJ,20000-585,-22.972343,-43.182963,0.97
CNEFE000048,ALAMEDA,DO OUVIDOR,4593,CENTRO,Rio de Janeiro,RJ,20000-913,-22.902864,-43.172911,0.96
CNEFE000049,PRAÇA,DAS FLORES,854,JARDIM,Rio de Janeiro,RJ,20000-569,-22.909411,-43.179657,0.96
CNEFE000050,AVENIDA,DO OUVIDOR,4786,CENTRO,Rio de Janeiro,RJ,20000-737,-22.90272,-43.173616,0.97
CNEFE000051,ALAMEDA,NOVE DE JULHO,2977,REPUBLICA,São Paulo,SP,01000-583,-23.543403,-46.641392,0.96
CNEFE000052,VIELA,SETEMBRO,942,CENTRO,Rio de Janeiro,RJ,20000-564,-22.904766,-43.177312,0.97
CNEFE000053,LARGO,AMAZONAS,953,CENTRO,Belo Horizonte,MG,30000-791,-19.917003,-43.935527,0.97
CNEFE000054,VIELA,PROTASIO ALVES,1971,PETROPOLIS,Porto Alegre,RS,90000-510,-30.035999,-51.2315,0.97
CNEFE000055,VIELA,PRESIDENTE VARGAS,3610,CENTRO,Rio de Janeiro,RJ,20000-125,-22.906731,-43.178197,0.97
CNEFE000056,AVENIDA,CONDE DA BOA VISTA,1603,DERBY,Recife,PE,50000-972,-8.055273,-34.888585,0.97
CNEFE000057,RUA,W3 SUL,1359,ASA SUL,Brasília,DF,70000-322,-15.794211,-47.882649,0.97
CNEFE000058,ALAMEDA,SAO JOAO,2435,REPUBLICA,São Paulo,SP,01000-490,-23.545666,-46.642077,0.97
CNEFE000059,TRAVESSA,QUINZE DE NOVEMBRO,7,CENTRO,São Paulo,SP,01000-796,-23.550532,-46.633898,0.96
CNEFE000060,AVENIDA,PRIMEIRO DE MARÇO,2443,CENTRO,Rio de Janeiro,RJ,20000-787,-22.903857,-43.176086,0.96
CNEFE000061,TRAVESSA,PRESIDENTE VARGAS,924,CENTRO,Rio de Janeiro,RJ,20000-644,-22.906251,-43.178409,0.97
CNEFE000062,ALAMEDA,AFONSO PENA,3926,CENTRO,Belo Horizonte,MG,30000-356,-19.917253,-43.933598,0.95
CNEFE000063,VIELA,DO COMERCIO,4860,SAO JOSE,Recife,PE,50000-594,-8.060374,-34.874923,0.97
CNEFE000064,TRAVESSA,DAS FLORES,25,JARDIM,Rio de Janeiro,RJ,20000-654,-22.910567,-43.179898,0.95
CNEFE000065,TRAVESSA,BRIGADEIRO FARIA LIMA,3290,ITAM BIBI,São Paulo,SP,01000-806,-23.584027,-46.689793,0.97
CNEFE000066,ESTRADA,RIO BRANCO,1188,CENTRO,Rio de Janeiro,RJ,20000-823,-22.903469,-43.174847,0.97
CNEFE000067,RUA,PRIMEIRO DE MARÇO,3141,CENTRO,Rio de Janeiro,RJ,20000-328,-22.902677,-43.176665,0.96
CNEFE000068,RUA,VINTE E TRES DE MAIO,3090,LIBERDADE,São Paulo,SP,01000-802,-23.545871,-46.641184,0.97
CNEFE000069,LARGO,SETEMBRO,1396,CENTRO,Rio de Janeiro,RJ,20000-260,-22.904842,-43.177836,0.95
CNEFE000070,RUA,VINTE E TRES DE MAIO,717,LIBERDADE,São Paulo,SP,01000-557,-23.54504,-46.641963,0.97
CNEFE000071,LARGO,AGAMENON MAGALHAES,2742,DERBY,Recife,PE,50000-638,-8.049696,-34.889304,0.97
CNEFE000072,LARGO,W3 SUL,2334,ASA SUL,Brasília,DF,70000-559,-15.793855,-47.881557,0.97
CNEFE000073,ESTRADA,OSWALDO CRUZ,873,BOTAFOGO,Rio de Janeiro,RJ,20000-213,-22.950369,-43.18914,0.96
CNEFE000074,PRAÇA,VINTE E TRES DE MAIO,3421,LIBERDADE,São Paulo,SP,01000-855,-23.544907,-46.642182,0.96
CNEFE000075,AVENIDA,PRESIDENTE VARGAS,78,CENTRO,Rio de Janeiro,RJ,20000-604,-22.905894,-43.177931,0.96
CNEFE000076,PRAÇA,CONSOLACAO,3330,CONSOLACAO,São Paulo,SP,01000-196,-23.549736,-46.659631,0.98
CNEFE000077,LARGO,AFONSO PENA,3003,CENTRO,Belo Horizonte,MG,30000-559,-19.917267,-43.935256,0.97
CNEFE000078,AVENIDA,QUINZE DE NOVEMBRO,3429,CENTRO,São Paulo,SP,01000-723,-23.55003,-46.632801,0.97
CNEFE000079,AVENIDA,AFONSO PENA,727,CENTRO,Belo Horizonte,MG,30000-316,-19.917231,-43.933616,0.97
CNEFE000080,RUA,W3 SUL,3211,ASA SUL,Brasília,DF,70000-270,-15.793461,-47.881801,0.97
CNEFE000081,RUA,OSWALDO CRUZ,4093,BOTAFOGO,Rio de Janeiro,RJ,20000-605,-22.950772,-43.190586,0.95
CNEFE000082,ESTRADA,DA AURORA,942,BOA VISTA,Recife,PE,50000-921,-8.063623,-34.880633,0.96
CNEFE000083,TRAVESSA,REBOUCAS,630,PINHEIROS,São Paulo,SP,01000-981,-23.561157,-46.680759,0.96
CNEFE000084,RUA,W3 SUL,2544,ASA SUL,Brasília,DF,70000-954,-15.794508,-47.882065,0.97
CNEFE000085,PRAÇA,OSWALDO CRUZ,2424,BOTAFOGO,Rio de Janeiro,RJ,20000-895,-22.950515,-43.189655,0.96
CNEFE000086,VIELA,BOAVISTA,1921,BOA VIAGEM,Recife,PE,50000-700,-8.119993,-34.907317,0.97
CNEFE000087,LARGO,EIXO MONUMENTAL,2282,ASA NORTE,Brasília,DF,70000-323,-15.795483,-47.884753,0.98
