id,tipo_logradouro,nome_logradouro,numero,bairro,cidade,uf,latitude,longitude,precisao,altitude,fonte_geografica
GEO000001,RUA,BAHIA,1350,CENTRO,Belo Horizonte,MG,-19.913152,-43.933853,BAIXA,900,IBGE
GEO000002,ALAMEDA,DAS FLORES,2411,JARDIM,Rio de Janeiro,RJ,-22.909963,-43.180083,ALTA,202,IBGE
GEO000003,PRAÇA,VINTE E TRES DE MAIO,2707,LIBERDADE,São Paulo,SP,-23.542783,-46.651389,BAIXA,41,GOOGLE
GEO000004,ESTRADA,DOS ANDRADAS,2807,CENTRO,Porto Alegre,RS,-30.034159,-51.229851,MEDIA,570,GOOGLE
GEO000005,ESTRADA,BORGES DE MEDEIROS,2045,CENTRO,Porto Alegre,RS,-30.034719,-51.230118,MEDIA,356,IBGE
GEO000006,TRAVESSA,BAHIA,3622,CENTRO,Belo Horizonte,MG,-19.917971,-43.936026,ALTA,988,OSM
GEO000007,ALAMEDA,OSWALDO CRUZ,812,BOTAFOGO,Rio de Janeiro,RJ,-22.950029,-43.190033,MEDIA,388,IBGE
GEO000008,PRAÇA,BORGES DE MEDEIROS,4752,CENTRO,Porto Alegre,RS,-30.032125,-51.226132,BAIXA,736,OSM
GEO000009,ALAMEDA,URUGUAIANA,4928,CENTRO,Rio de Janeiro,RJ,-22.901564,-43.174841,MEDIA,431,GOOGLE
GEO000010,PRAÇA,DOS ANDRADAS,2691,CENTRO,Porto Alegre,RS,-30.025086,-51.224375,BAIXA,30,GOOGLE
GEO000011,PRAÇA,MARQUES DE ITU,2163,VILA BUARQUE,São Paulo,SP,-23.546915,-46.643992,ALTA,639,OSM
GEO000012,ALAMEDA,VINTE E TRES DE MAIO,1667,LIBERDADE,São Paulo,SP,-23.544434,-46.644459,BAIXA,602,OSM
GEO000013,VIELA,BAHIA,4682,CENTRO,Belo Horizonte,MG,-19.918053,-43.936022,ALTA,498,GOOGLE
GEO000014,VIELA,VINTE E TRES DE MAIO,4147,LIBERDADE,São Paulo,SP,-23.547183,-46.634568,BAIXA,531,OSM
GEO000015,VIELA,DOS ANDRADAS,1901,CENTRO,Porto Alegre,RS,-30.034625,-51.230597,ALTA,552,OSM
GEO000016,PRAÇA,IPIRANGA,4785,REPUBLICA,São Paulo,SP,-23.538503,-46.637536,BAIXA,624,IBGE
GEO000017,ALAMEDA,OSWALDO CRUZ,2385,BOTAFOGO,Rio de Janeiro,RJ,-22.950442,-43.190084,MEDIA,463,GOOGLE
GEO000018,PRAÇA,URUGUAIANA,2459,CENTRO,Rio de Janeiro,RJ,-22.900547,-43.174039,MEDIA,421,GOOGLE
GEO000019,RUA,COPACABANA,4929,COPACABANA,Rio de Janeiro,RJ,-22.97008,-43.184702,MEDIA,562,GOOGLE
GEO000020,ALAMEDA,DOS ANDRADAS,450,CENTRO,Porto Alegre,RS,-30.033762,-51.229812,MEDIA,251,GOOGLE
GEO000021,ALAMEDA,PRIMEIRO DE MARÇO,3128,CENTRO,Rio de Janeiro,RJ,-22.90301,-43.176066,ALTA,572,IBGE
GEO000022,TRAVESSA,DAS FLORES,2574,JARDIM,Rio de Janeiro,RJ,-22.901007,-43.177814,BAIXA,117,GOOGLE
GEO000023,PRAÇA,DAS FLORES,4383,JARDIM,Rio de Janeiro,RJ,-22.910082,-43.179219,MEDIA,480,GOOGLE
GEO000024,RUA,DA AURORA,871,BOA VISTA,Recife,PE,-8.059919,-34.878518,BAIXA,858,IBGE
GEO000025,PRAÇA,QUINZE DE NOVEMBRO,3226,CENTRO,São Paulo,SP,-23.541913,-46.623312,BAIXA,489,GOOGLE
GEO000026,VIELA,MARQUES DE ITU,2006,VILA BUARQUE,São Paulo,SP,-23.546445,-46.644866,MEDIA,412,IBGE
GEO000027,VIELA,QUINZE DE NOVEMBRO,3330,CENTRO,São Paulo,SP,-23.55005,-46.632606,MEDIA,421,OSM
GEO000028,VIELA,COPACABANA,1905,COPACABANA,Rio de Janeiro,RJ,-22.972153,-43.179178,BAIXA,122,IBGE
GEO000029,RUA,IPIRANGA,1622,REPUBLICA,São Paulo,SP,-23.537013,-46.647403,BAIXA,701,IBGE
GEO000030,VIELA,W3 SUL,2484,ASA SUL,Brasília,DF,-15.79911,-47.884292,BAIXA,828,IBGE
GEO000031,LARGO,VINTE E TRES DE MAIO,3707,LIBERDADE,São Paulo,SP,-23.54555,-46.642406,MEDIA,986,IBGE
GEO000032,ALAMEDA,IPIRANGA,4614,REPUBLICA,São Paulo,SP,-23.543425,-46.640736,MEDIA,668,OSM
GEO000033,VIELA,TUPIS,1396,CENTRO,Belo Horizonte,MG,-19.915957,-43.930043,BAIXA,717,IBGE
GEO000034,TRAVESSA,QUINZE DE NOVEMBRO,2087,CENTRO,São Paulo,SP,-23.550513,-46.633225,ALTA,808,OSM
GEO000035,RUA,PAULISTA,2912,BELA VISTA,São Paulo,SP,-23.561756,-46.656921,MEDIA,363,IBGE
GEO000036,VIELA,AGAMENON MAGALHAES,3431,DERBY,Recife,PE,-8.050092,-34.890084,ALTA,173,OSM
GEO000037,TRAVESSA,CONSOLACAO,733,CONSOLACAO,São Paulo,SP,-23.549939,-46.660097,ALTA,278,GOOGLE
GEO000038,PRAÇA,PRIMEIRO DE MARÇO,3737,CENTRO,Rio de Janeiro,RJ,-22.89921,-43.172096,BAIXA,148,GOOGLE
GEO000039,VIELA,TUPIS,4238,CENTRO,Belo Horizonte,MG,-19.91897,-43.937065,ALTA,459,GOOGLE
GEO000040,TRAVESSA,REBOUCAS,1854,PINHEIROS,São Paulo,SP,-23.561128,-46.679317,MEDIA,318,IBGE
GEO000041,RUA,SETEMBRO,768,CENTRO,Rio de Janeiro,RJ,-22.905487,-43.177359,MEDIA,403,OSM
GEO000042,AVENIDA,DO COMERCIO,3393,SAO JOSE,Recife,PE,-8.051107,-34.867315,BAIXA,861,OSM
GEO000043,RUA,CONDE DA BOA VISTA,3395,DERBY,Recife,PE,-8.055097,-34.888084,ALTA,314,GOOGLE
GEO000044,LARGO,COPACABANA,2013,COPACABANA,Rio de Janeiro,RJ,-22.969972,-43.185026,ALTA,143,OSM
GEO000045,ALAMEDA,CONSOLACAO,3507,CONSOLACAO,São Paulo,SP,-23.542136,-46.66276,BAIXA,439,GOOGLE
GEO000046,ESTRADA,COPACABANA,505,COPACABANA,Rio de Janeiro,RJ,-22.974391,-43.175424,BAIXA,465,IBGE
GEO000047,VIELA,QUINZE DE NOVEMBRO,2133,CENTRO,São Paulo,SP,-23.559484,-46.625854,BAIXA,966,GOOGLE
GEO000048,ESTRADA,PROTASIO ALVES,4180,PETROPOLIS,Porto Alegre,RS,-30.035921,-51.231964,ALTA,847,OSM
GEO000049,TRAVESSA,BOAVISTA,2783,BOA VIAGEM,Recife,PE,-8.119349,-34.907314,MEDIA,732,OSM
GEO000050,ESTRADA,AMAZONAS,4366,CENTRO,Belo Horizonte,MG,-19.916388,-43.934707,MEDIA,508,OSM
GEO000051,AVENIDA,PROTASIO ALVES,2033,PETROPOLIS,Porto Alegre,RS,-30.035062,-51.232091,MEDIA,341,OSM
GEO000052,TRAVESSA,COPACABANA,2108,COPACABANA,Rio de Janeiro,RJ,-22.969655,-43.184763,MEDIA,515,IBGE
GEO000053,RUA,BOA VIAGEM,3067,BOA VIAGEM,Recife,PE,-8.111306,-34.913229,BAIXA,266,OSM
GEO000054,PRAÇA,OSWALDO CRUZ,2583,BOTAFOGO,Rio de Janeiro,RJ,-22.949575,-43.190844,MEDIA,60,GOOGLE
GEO000055,RUA,AGAMENON MAGALHAES,3529,DERBY,Recife,PE,-8.049975,-34.889944,ALTA,357,IBGE
GEO000056,TRAVESSA,TUPIS,3602,CENTRO,Belo Horizonte,MG,-19.919523,-43.937998,MEDIA,121,IBGE
GEO000057,ALAMEDA,BOA VIAGEM,3102,BOA VIAGEM,Recife,PE,-8.118907,-34.905981,ALTA,256,GOOGLE
GEO000058,ESTRADA,VINTE E TRES DE MAIO,4482,LIBERDADE,São Paulo,SP,-23.548592,-46.638545,BAIXA,62,IBGE
GEO000059,TRAVESSA,PAULISTA,881,BELA VISTA,São Paulo,SP,-23.560531,-46.657403,MEDIA,483,OSM
GEO000060,LARGO,EIXO MONUMENTAL,1991,ASA NORTE,Brasília,DF,-15.795631,-47.883836,MEDIA,869,IBGE
GEO000061,TRAVESSA,ATLANTICA,2225,COPACABANA,Rio de Janeiro,RJ,-22.966118,-43.188039,BAIXA,190,OSM
GEO000062,VIELA,PAULISTA,1165,BELA VISTA,São Paulo,SP,-23.561036,-46.655961,MEDIA,376,IBGE
GEO000063,VIELA,DA AURORA,1210,BOA VISTA,Recife,PE,-8.062786,-34.881257,MEDIA,815,OSM
GEO000064,LARGO,DA AURORA,4476,BOA VISTA,Recife,PE,-8.062933,-34.880938,ALTA,608,OSM
GEO000065,ALAMEDA,IPIRANGA,1701,REPUBLICA,São Paulo,SP,-23.542984,-46.64003,ALTA,994,IBGE
GEO000066,PRAÇA,W3 NORTE,3645,ASA NORTE,Brasília,DF,-15.794938,-47.883626,MEDIA,901,OSM
GEO000067,RUA,W3 SUL,4636,ASA SUL,Brasília,DF,-15.794807,-47.881484,MEDIA,521,GOOGLE
GEO000068,LARGO,IPIRANGA,4247,REPUBLICA,São Paulo,SP,-23.542964,-46.640086,ALTA,616,IBGE
GEO000069,VIELA,EIXO MONUMENTAL,2961,ASA NORTE,Brasília,DF,-15.79423,-47.878662,BAIXA,535,OSM
GEO000070,VIELA,SAO JOAO,146,REPUBLICA,São Paulo,SP,-23.546317,-46.643161,MEDIA,685,GOOGLE
GEO000071,VIELA,BOA VIAGEM,3832,BOA VIAGEM,Recife,PE,-8.118918,-34.90601,ALTA,961,IBGE
GEO000072,LARGO,W3 NORTE,2922,ASA NORTE,Brasília,DF,-15.794355,-47.883893,MEDIA,593,OSM
GEO000073,RUA,EIXO MONUMENTAL,1083,ASA NORTE,Brasília,DF,-15.796317,-47.883037,MEDIA,928,IBGE
GEO000074,RUA,URUGUAIANA,2066,CENTRO,Rio de Janeiro,RJ,-22.892776,-43.166267,BAIXA,294,GOOGLE
GEO000075,RUA,CONSOLACAO,3268,CONSOLACAO,São Paulo,SP,-23.554972,-46.650088,BAIXA,194,GOOGLE
GEO000076,RUA,PAULISTA,1221,BELA VISTA,São Paulo,SP,-23.55551,-46.650005,BAIXA,797,GOOGLE
GEO000077,RUA,VINTE E TRES DE MAIO,3914,LIBERDADE,São Paulo,SP,-23.552975,-46.642324,BAIXA,930,IBGE
GEO000078,RUA,W3 NORTE,990,ASA NORTE,Brasília,DF,-15.795088,-47.883061,ALTA,407,IBGE
GEO000079,ESTRADA,BORGES DE MEDEIROS,590,CENTRO,Porto Alegre,RS,-30.034763,-51.23074,MEDIA,950,OSM
GEO000080,VIELA,URUGUAIANA,677,CENTRO,Rio de Janeiro,RJ,-22.90117,-43.174159,MEDIA,495,OSM
GEO000081,RUA,COPACABANA,4004,COPACABANA,Rio de Janeiro,RJ,-22.975602,-43.191341,BAIXA,349,OSM
GEO000082,PRAÇA,AFONSO PENA,1108,CENTRO,Belo Horizonte,MG,-19.926168,-43.939485,BAIXA,976,OSM
GEO000083,RUA,REBOUCAS,43,PINHEIROS,São Paulo,SP,-23.563275,-46.677289,BAIXA,537,IBGE
GEO000084,ESTRADA,BRIGADEIRO FARIA LIMA,743,ITAM BIBI,São Paulo,SP,-23.583902,-46.689913,ALTA,60,GOOGLE
GEO000085,ALAMEDA,BORGES DE MEDEIROS,570,CENTRO,Porto Alegre,RS,-30.034247,-51.230577,MEDIA,274,OSM
GEO000086,RUA,CONSOLACAO,4505,CONSOLACAO,São Paulo,SP,-23.549939,-46.66007,ALTA,877,GOOGLE
GEO000087,AVENIDA,IPIRANGA,3259,REPUBLICA,São Paulo,SP,-23.543058,-46.63993,ALTA,307,GOOGLE
GEO000088,ALAMEDA,DO COMERCIO,2301,SAO JOSE,Recife,PE,-8.060092,-34.87509,ALTA,402,GOOGLE
GEO000089,VIELA,OSWALDO CRUZ,3721,BOTAFOGO,Rio de Janeiro,RJ,-22.950002,-43.190009,ALTA,544,OSM
