id_fonte,tipo_logradouro,nome_logradouro,numero,bairro,cidade,uf,cep,latitude,longitude,confiabilidade
DNE000001,TRAVESSA,ATLANTICA,272,COPACABANA,Rio de Janeiro,RJ,20000-911,-22.971879,-43.181792,0.92
DNE000002,ESTRADA,BRIGADEIRO FARIA LIMA,2186,ITAM BIBI,São Paulo,SP,01000-334,-23.58435,-46.689909,0.93
DNE000003,RUA,BOAVISTA,293,BOA VIAGEM,Recife,PE,50000-983,-8.119304,-34.906238,0.94
DNE000004,VIELA,PRESIDENTE VARGAS,3609,CENTRO,Rio de Janeiro,RJ,20000-393,-22.905971,-43.17757,0.92
DNE000005,PRAÇA,PROTASIO ALVES,1412,PETROPOLIS,Porto Alegre,RS,90000-360,-30.03519,-51.231315,0.91
DNE000006,TRAVESSA,CONDE DA BOA VISTA,4384,DERBY,Recife,PE,50000-804,-8.055477,-34.888145,0.94
DNE000007,LARGO,COPACABANA,4526,COPACABANA,Rio de Janeiro,RJ,20000-757,-22.97005,-43.184761,0.91
DNE000008,ESTRADA,BOA VIAGEM,4397,BOA VIAGEM,Recife,PE,50000-614,-8.119518,-34.905808,0.92
DNE000009,VIELA,PROTASIO ALVES,4653,PETROPOLIS,Porto Alegre,RS,90000-700,-30.035678,-51.231252,0.93
DNE000010,RUA,W3 SUL,2508,ASA SUL,Brasília,DF,70000-422,-15.794138,-47.882912,0.95
DNE000011,LARGO,DOS ANDRADAS,858,CENTRO,Porto Alegre,RS,90000-560,-30.034564,-51.23129,0.91
DNE000012,AVENIDA,URUGUAIANA,4901,CENTRO,Rio de Janeiro,RJ,20000-490,-22.901492,-43.174535,0.93
DNE000013,TRAVESSA,NOVE DE JULHO,4561,REPUBLICA,São Paulo,SP,01000-706,-23.54465,-46.641736,0.93
DNE000014,AVENIDA,BAHIA,1237,CENTRO,Belo Horizonte,MG,30000-761,-19.918675,-43.936529,0.95
DNE000015,ESTRADA,EIXO MONUMENTAL,4642,ASA NORTE,Brasília,DF,70000-276,-15.796,-47.884216,0.91
DNE000016,TRAVESSA,W3 SUL,1375,ASA SUL,Brasília,DF,70000-145,-15.793433,-47.881374,0.91
DNE000017,RUA,PRIMEIRO DE MARÇO,134,CENTRO,Rio de Janeiro,RJ,20000-634,-22.90397,-43.17654,0.9
DNE000018,RUA,DO COMERCIO,245,SAO JOSE,Recife,PE,50000-746,-8.060077,-34.875241,0.93
DNE000019,VIELA,EIXO MONUMENTAL,997,ASA NORTE,Brasília,DF,70000-185,-15.795161,-47.883647,0.9
DNE000020,AVENIDA,SAO JOAO,2366,REPUBLICA,São Paulo,SP,01000-841,-23.546621,-46.643233,0.9
DNE000021,PRAÇA,IPIRANGA,1999,REPUBLICA,São Paulo,SP,01000-187,-23.542205,-46.640421,0.93
