id,endereco_livre,uf,cidade,timestamp
1,"RUA PRIMEIRO DE MARÇO, 2254, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-19 16:02:34
2,"AVENIDA PRESIDENTE VARGAS, 4838, CENTRO",RJ,Rio de Janeiro,2025-11-25 20:44:34
3,"entregar na travessa consolacao, 4140 , consolacao",SP,São Paulo,2025-11-09 14:04:34
4,"VIELA W3 NORTE, 1806, ASA NORTE",DF,Brasília,2025-11-08 11:58:34
5,"estrada do ouvidor, 3463, centro",RJ,Rio de Janeiro,2025-11-18 16:36:34
6,"AVENIDA BOAVISTA, 760, BOA VIAGEM",PE,Recife,2025-11-23 08:55:34
7,"ALAMEDA DA AURORA, 356, em frente ao banco, BOA VISTA, Recife",PE,Recife,2025-11-09 16:50:34
8,"avenida do comercio, 4523, sao jose",PE,Recife,2025-10-31 00:10:34
9,"Tv conde da boa vista, 570",PE,Recife,2025-11-02 11:44:34
10,"avenida brigadeiro faria lima, 3114, itam bibi",SP,São Paulo,2025-11-11 23:56:34
11,"estrada conde da boa vista, 3033, derby",PE,Recife,2025-11-19 23:32:34
12,"ESTRADA COPACABANA, 4376, perto da praça, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-21 06:25:34
13,"TRAVESSA VINTE E TRES DE MAIO, 2657, , LIBERDADE, São Paulo",SP,São Paulo,2025-11-19 18:58:34
14,"VIELA boa viagem, 2194",PE,Recife,2025-10-28 01:53:34
15,"TRAVESSA BOA VIAGEM, 4090, BOA VIAGEM",PE,Recife,2025-10-29 00:20:34
16,"ALAMEDA SETEMBRO, 1144, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-03 03:15:34
17,"VIELA NOVE DE JULHO, 4781, REPUBLICA",SP,São Paulo,2025-11-15 13:41:34
18,"LARGO PROTASIO ALVES, 745, , PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-10-30 17:40:34
19,"VIELA paulista, 4886",SP,São Paulo,2025-11-14 01:20:34
