id_fonte,tipo_logradouro,nome_logradouro,numero,bairro,cidade,uf,cep,latitude,longitude,confiabilidade
OSM000001,ESTRADA,Oswaldo Cruz,4093,Botafogo,Rio de Janeiro,RJ,20000-452,-22.950902,-43.190607,0.82
OSM000002,LARGO,W3 Sul,408,ASA SUL,Brasília,DF,70000-814,-15.794243,-47.881575,0.76
OSM000003,AVENIDA,DO COMERCIO,862,Sao Jose,Recife,PE,50000-852,-8.059987,-34.874238,0.81
OSM000004,LARGO,AGAMENON MAGALHAES,3684,Derby,Recife,PE,50000-499,-8.050388,-34.890944,0.77
OSM000005,ESTRADA,Primeiro De Março,303,Centro,Rio de Janeiro,RJ,20000-309,-22.902019,-43.175365,0.79
OSM000006,LARGO,Conde Da Boa Vista,2313,Derby,Recife,PE,50000-460,-8.055197,-34.887289,0.82
OSM000007,VIELA,Atlantica,3826,Copacabana,Rio de Janeiro,RJ,20000-526,-22.972292,-43.182508,0.82
OSM000008,ESTRADA,DOS ANDRADAS,926,Centro,Porto Alegre,RS,90000-388,-30.035344,-51.230473,0.8
OSM000009,PRAÇA,Borges De Medeiros,4507,CENTRO,Porto Alegre,RS,90000-718,-30.035098,-51.231522,0.78
OSM000010,ESTRADA,Dos Andradas,296,CENTRO,Porto Alegre,RS,90000-489,-30.034219,-51.231201,0.83
OSM000011,ESTRADA,NOVE DE JULHO,3126,REPUBLICA,São Paulo,SP,01000-530,-23.544148,-46.640844,0.83
OSM000012,RUA,REBOUCAS,1744,Pinheiros,São Paulo,SP,01000-670,-23.561578,-46.680522,0.81
OSM000013,ESTRADA,Consolacao,4224,CONSOLACAO,São Paulo,SP,01000-337,-23.550921,-46.659717,0.83
OSM000014,VIELA,Ipiranga,1407,REPUBLICA,São Paulo,SP,01000-662,-23.543341,-46.640337,0.76
OSM000015,AVENIDA,BORGES DE MEDEIROS,1527,Centro,Porto Alegre,RS,90000-703,-30.035493,-51.230992,0.81
OSM000016,LARGO,REBOUCAS,1891,PINHEIROS,São Paulo,SP,01000-692,-23.561419,-46.680263,0.81
OSM000017,VIELA,BRIGADEIRO FARIA LIMA,2750,ITAM BIBI,São Paulo,SP,01000-766,-23.584835,-46.68971,0.84
OSM000018,LARGO,Vinte E Tres De Maio,3060,LIBERDADE,São Paulo,SP,01000-433,-23.544629,-46.641378,0.83
OSM000019,LARGO,DOS ANDRADAS,4609,CENTRO,Porto Alegre,RS,90000-228,-30.034337,-51.230566,0.76
OSM000020,TRAVESSA,Marques De Itu,2866,VILA BUARQUE,São Paulo,SP,01000-806,-23.547577,-46.643719,0.77
OSM000021,ESTRADA,Boavista,3764,Boa Viagem,Recife,PE,50000-850,-8.12001,-34.907937,0.77
OSM000022,PRAÇA,Reboucas,3693,PINHEIROS,São Paulo,SP,01000-726,-23.561239,-46.679596,0.81
OSM000023,VIELA,Nove De Julho,4390,REPUBLICA,São Paulo,SP,01000-104,-23.544606,-46.640847,0.79
OSM000024,VIELA,W3 SUL,4691,Asa Sul,Brasília,DF,70000-758,-15.794093,-47.882573,0.83
OSM000025,AVENIDA,Vinte E Tres De Maio,129,Liberdade,São Paulo,SP,01000-707,-23.545468,-46.642788,0.78
OSM000026,ALAMEDA,Dos Andradas,4789,CENTRO,Porto Alegre,RS,90000-971,-30.035201,-51.23117,0.77
OSM000027,VIELA,W3 SUL,931,Asa Sul,Brasília,DF,70000-742,-15.793568,-47.882212,0.77
OSM000028,PRAÇA,Ipiranga,1722,Republica,São Paulo,SP,01000-179,-23.543261,-46.639058,0.8
OSM000029,RUA,PRESIDENTE VARGAS,1546,CENTRO,Rio de Janeiro,RJ,20000-194,-22.906822,-43.177567,0.78
OSM000030,ESTRADA,Afonso Pena,3149,CENTRO,Belo Horizonte,MG,30000-431,-19.917094,-43.933578,0.77
