id,uid_base,tipo_logradouro,nome_logradouro,numero,bairro,cidade,uf,variacao,descricao_variacao
VAR000001,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,"rua vinte e tres de maio, 3662",Numeral por extenso
VAR000002,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,"Rua vinte e tres de maio, 3662",Abreviação com ponto
VAR000003,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,rua vinte e tres de maio 3662 liberdade são paulo,Formato sequencial
VAR000004,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,rua vinte e tres de maio 3662 liberdade são paulo,Formato sequencial
VAR000005,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,rua vinte e tres de maio 3662 liberdade são paulo,Formato sequencial
VAR000006,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,"rua vinte e tres de maio, 3662",Abreviação com ponto
VAR000007,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,"rua vinte e tres de maio, 3662",Numeral romano
VAR000008,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,"RUA vinte e tres de maio, 3662",Abreviação com ponto
VAR000009,UID_VINTE_E_TRES_DE_MAIO_0001,RUA,VINTE E TRES DE MAIO,3662,LIBERDADE,São Paulo,SP,"RUA VINTE E TRES DE MAIO, 3662, LIBERDADE",Formato completo
VAR000010,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,"rua tupis, 3077, apto 101",Com complemento
VAR000011,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,"RUA tupis, 3077",Abreviação com ponto
VAR000012,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,"RUA TUPIS, 3077, CENTRO",Formato completo
VAR000013,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,"rua tupis, 3077, bloco B",Com complemento
VAR000014,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,rua tupis 3077 centro,Sem pontuação
VAR000015,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,"rua tupis, 3077",Numeral por extenso
VAR000016,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,"RUA TUPIS, 3077, CENTRO",Formato completo
VAR000017,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,"Rua tupis, 3077",Abreviação com ponto
VAR000018,UID_TUPIS_0002,RUA,TUPIS,3077,CENTRO,Belo Horizonte,MG,rua tupis 3077 centro belo horizonte,Formato sequencial
VAR000019,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"estrada rio branco, 209, em frente ao banco",Com referência local
VAR000020,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"estrada rio branco, 209",Numeral por extenso
VAR000021,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"ESTRADA RIO BRANCO, 209",Maiúsculas
VAR000022,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"estrada rio branco, 209, sala 10",Com complemento
VAR000023,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,estrada rio branco 209 centro rio de janeiro,Formato sequencial
VAR000024,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"estrada rio branco, 209",Numeral romano
VAR000025,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"estrada rio branco, 209",Numeral por extenso
VAR000026,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"estrada rio branco, 209",Numeral por extenso
VAR000027,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"estrada rio branco, 209, perto da praça",Com referência local
VAR000028,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,estrada rio branco 209 centro rio de janeiro,Formato sequencial
